,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
122522,948 - SIGNS & SYMPTOMS W/O MCC,310029,OUR LADY OF LOURDES MEDICAL CENTER,1600 HADDON AVENUE,CAMDEN,NJ,8103,NJ - Camden,16,33537.88,6455.81,4156.5
122523,981 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,310029,OUR LADY OF LOURDES MEDICAL CENTER,1600 HADDON AVENUE,CAMDEN,NJ,8103,NJ - Camden,30,228093.03,34857.57,28456.1
122524,982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,310029,OUR LADY OF LOURDES MEDICAL CENTER,1600 HADDON AVENUE,CAMDEN,NJ,8103,NJ - Camden,16,169541.19,21841.75,18652.56
123035,"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,17,460066.82,89678.53,85031.88
123036,020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,11,462879.0,86866.73,83570.27
123037,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,21,233092.52,42554.19,37483.81
123038,025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,67,134468.7,31915.69,25776.0
123039,026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,84743.5,20862.58,16961.67
123040,027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,20,87806.0,16845.4,12118.5
123041,054 - NERVOUS SYSTEM NEOPLASMS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,25,72185.76,13529.28,11556.64
123042,056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,26,102091.73,18237.5,13515.08
123043,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,41,37964.12,7159.07,5353.05
123044,061 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,17,98609.94,18982.12,17349.65
123045,062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,14,84513.0,12925.93,11376.43
123046,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,114,72053.6,13091.72,10833.56
123047,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,94,40707.69,7583.91,6095.33
123048,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,72,33594.86,5909.51,3711.17
123049,069 - TRANSIENT ISCHEMIA,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,53,28181.3,4970.32,3591.92
123050,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,68690.83,12028.75,10410.75
123051,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,15,33855.33,6797.6,5609.47
123052,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,21,34593.52,6829.19,4206.43
123053,"085 - TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,18,93257.39,17636.5,14419.22
123054,"086 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,20,29621.1,7686.85,6552.7
123055,"087 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,18,27330.5,6063.39,3451.67
123056,091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,20,61527.65,12487.65,10120.4
123057,092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,35,39922.06,6368.29,5161.8
123058,100 - SEIZURES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,42,88780.5,12869.19,8856.1
123059,101 - SEIZURES W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,146,49790.54,5917.12,3970.47
123060,149 - DYSEQUILIBRIUM,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,21,30948.62,4509.71,3023.38
123061,153 - OTITIS MEDIA & URI W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,11,32687.27,4784.64,3224.82
123062,166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,25,120163.16,27818.12,23850.4
123063,175 - PULMONARY EMBOLISM W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,19,54523.16,10936.74,7951.84
123064,176 - PULMONARY EMBOLISM W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,32,39323.25,6904.66,5611.09
123065,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,71,63885.28,13521.2,11300.49
123066,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,24,45177.08,10024.75,7019.13
123067,180 - RESPIRATORY NEOPLASMS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,43,56673.72,12677.35,10567.51
123068,181 - RESPIRATORY NEOPLASMS W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,17,38632.94,8979.76,6251.88
123069,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,37,46831.03,9218.41,7442.81
123070,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,91,52530.41,8804.07,6837.21
123071,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,49,37140.98,6829.39,5528.98
123072,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,27,28644.63,5463.04,3591.74
123073,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,150,58675.02,11120.33,8825.22
123074,194 - SIMPLE PNEUMONIA & PLEURISY W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,107,35217.75,7311.22,5190.53
123075,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,33,29118.18,5115.09,3652.7
123076,196 - INTERSTITIAL LUNG DISEASE W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,62453.33,12386.08,8875.08
123077,202 - BRONCHITIS & ASTHMA W CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,36,32511.0,6295.61,4803.92
123078,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,24,217790.71,38834.33,36312.13
123079,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,34,109519.24,17826.24,16070.06
123080,237 - MAJOR CARDIOVASC PROCEDURES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,13,148490.46,29799.69,28123.08
123081,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,32,95968.31,23538.53,18174.81
123082,242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,26,117153.12,27213.92,23799.69
123083,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,18,65730.28,19683.72,15951.44
123084,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,20,52159.75,15281.25,12831.65
123085,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,25,108340.72,23028.36,19435.4
123086,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,36,91134.72,15439.83,11150.53
123087,248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,13,141321.69,22955.08,17951.46
123088,252 - OTHER VASCULAR PROCEDURES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,23,124526.26,23045.26,19369.96
123089,253 - OTHER VASCULAR PROCEDURES W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,32,94148.0,19616.56,14580.75
123090,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,14,41878.64,13762.43,8929.5
123091,264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,16,64707.38,19779.13,16372.94
123092,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,108,65233.23,12658.73,10740.51
123093,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,51,36760.61,7542.53,5719.88
123094,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,28,31036.93,5641.68,3831.36
123095,"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,11,92997.64,12280.55,10837.82
123096,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,98585.0,16294.42,14443.75
123097,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,32,56893.22,8953.63,5411.0
123098,291 - HEART FAILURE & SHOCK W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,202,53993.57,10783.3,9210.94
123099,292 - HEART FAILURE & SHOCK W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,143,39435.92,7210.05,5758.8
123100,293 - HEART FAILURE & SHOCK W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,47,26630.45,4934.34,3381.4
123101,299 - PERIPHERAL VASCULAR DISORDERS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,21,41270.24,9121.24,7831.81
123102,300 - PERIPHERAL VASCULAR DISORDERS W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,31,36519.03,6701.06,5403.32
123103,305 - HYPERTENSION W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,23713.92,4435.58,3057.92
123104,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,74,41711.18,8692.39,7354.51
123105,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,49,33573.41,5722.04,4360.02
123106,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,29,22212.24,4227.1,2586.79
123107,312 - SYNCOPE & COLLAPSE,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,94,29183.79,5432.96,3826.12
123108,313 - CHEST PAIN,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,17,22962.24,4321.24,2976.76
123109,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,45,62702.6,13044.62,11198.04
123110,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,23,40056.57,10723.26,4055.7
123111,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,59,145658.19,34478.58,30154.81
123112,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,69,63776.52,19364.42,14029.26
123113,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,34,51033.18,12770.06,8306.94
123114,335 - PERITONEAL ADHESIOLYSIS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,139656.0,37470.5,27502.17
123115,336 - PERITONEAL ADHESIOLYSIS W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,18,64458.17,16405.5,12601.0
123116,355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,31670.67,9037.33,5598.58
123117,356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,13,133674.62,29046.54,19844.15
123118,371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,29,82556.38,16371.69,13758.31
123119,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,26,38177.04,8686.0,6645.04
123120,374 - DIGESTIVE MALIGNANCY W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,26,107967.77,18315.81,15075.35
123121,375 - DIGESTIVE MALIGNANCY W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,26,51238.46,9735.92,7135.19
123122,377 - G.I. HEMORRHAGE W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,66,69352.77,13694.35,11157.88
123123,378 - G.I. HEMORRHAGE W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,152,38764.66,7354.54,5551.81
123124,379 - G.I. HEMORRHAGE W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,21135.92,4925.83,3573.42
123125,386 - INFLAMMATORY BOWEL DISEASE W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,11,45203.45,7448.27,5791.36
123126,388 - G.I. OBSTRUCTION W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,19,64775.21,12639.32,10920.63
123127,389 - G.I. OBSTRUCTION W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,34,36839.21,6616.06,4546.5
123128,390 - G.I. OBSTRUCTION W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,34,22569.29,4352.94,2981.47
123129,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,48,46240.42,9109.83,7694.56
123130,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,171,29787.32,5674.36,3934.07
123131,393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,33,65850.21,12616.42,9183.03
123132,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,39,30732.77,7035.95,5461.05
123133,395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,12,31430.42,4899.17,3492.58
123134,417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,21,85693.76,20975.57,15860.71
123135,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,30,49940.4,12046.9,9007.63
123136,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,28,36494.14,8963.0,6776.5
123137,435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,26,78057.42,15062.31,11600.42
123138,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,20,33281.15,7357.9,4516.25
123139,440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,18,23354.39,4675.33,3142.72
123140,"441 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,18,62522.67,12920.61,11499.06
123141,"442 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,17,78451.94,13083.59,9467.94
123142,445 - DISORDERS OF THE BILIARY TRACT W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,26,59192.88,8055.69,6514.65
123143,446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,15,29429.13,5355.13,3925.13
123144,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,33,100921.85,29927.52,23556.55
123145,462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,32,80363.91,26468.91,18330.16
123146,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,21,77318.62,24579.1,20712.71
123147,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,25,110485.52,23195.64,21176.6
123148,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,250,55652.31,16723.44,11408.12
123149,472 - CERVICAL SPINAL FUSION W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,15,79200.13,20019.93,18639.87
123150,473 - CERVICAL SPINAL FUSION W/O CC/MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,18,66090.83,16561.06,13126.56
123151,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,34,78782.65,20572.09,18850.26
123152,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,NJ - Morristown,87,54553.21,13947.32,11534.16
